vAveCoor	Ea	ModelStdDv
0.73000000000000000002	891.31472496766196739193	253.03882780233965589523
0.74000000000000000001	907.38024685148240533472	262.32033201255784171657
0.75000000000000000000	925.20863927241691493375	274.24319892493575709369
0.75999999999999999999	910.26058279416796331640	271.52237249833574825320
0.76999999999999999998	887.28506939326935015755	267.81439281885237699288
0.77999999999999999997	895.88574414548337165876	274.28890231914345074204
0.79000000000000000002	918.61446332183595803178	287.24260885196305628786
0.80000000000000000001	912.15392262976577908429	288.37298037752743362638
0.81000000000000000000	885.87629872225336907787	283.15004842919758165642
0.81999999999999999999	885.31350422239733555241	286.89385357678664573156
0.82999999999999999998	909.67895251404216150348	299.23110114679400595161
0.83999999999999999998	912.85263138461307386162	304.52673194029973460784
0.85000000000000000002	886.84983584538097317607	298.95233519429738552886
0.86000000000000000001	876.72170794709731461714	300.15360849612148264054
0.87000000000000000000	899.12031550441893368308	310.74412349420424991897
0.88000000000000000000	911.74964882847330199800	319.70801460913745403736
0.88999999999999999999	889.76309740367945222417	315.35091290043149891975
0.89999999999999999998	871.15433563216113466154	314.35025392472786029407
0.91000000000000000002	888.28996166989127525326	322.77203604518132915024
0.92000000000000000002	909.07567249612206305986	334.28584724371614136929
0.93000000000000000001	894.91018681750907115546	332.80953457420676508405
0.94000000000000000000	871.21232731334194016037	330.13733108800498713964
0.94999999999999999999	882.61648378051024599333	335.90350933248606909998
0.95999999999999999998	913.87572902631561660991	346.52207252125490383188
0.97000000000000000003	921.47254641989565027149	344.97412797644777715522
0.98000000000000000002	922.91821136289713473078	337.01639632926252596046
0.99000000000000000001	990.10292046420914452431	355.09642510747192473142
1.00000000000000000000	1177.59343423438887366039	510.91551492686877078420
