No.	||	Structure type		||	M1	n_m1	D1	n_d1	D1'	n_d1'	||	M2	n_m2	D2	n_d2	D2'	n_d2'	||	M3	n_m3	D3	n_d3	||	O	nO	||	Ea	Log10A
464	||	a-SrSiO3		||	Sr	0.8	K	0.2			||	Ge	1					||					||	O	2.9	||	1553.600387	9.285343163
465	||	a-SrSiO3		||	Sr	0.85	K	0.15			||	Si	1					||					||	O	2.925	||	1263.506882	6.71361315
466	||	a-SrSiO3		||	Sr	0.75	K	0.25			||	Si	1					||					||	O	2.875	||	1422.907757	7.398108631
467	||	a-SrSiO3		||	Sr	0.8	K	0.2			||	Si	0.5	Ge	0.5			||					||	O	2.9	||	1059.115945	6.777540319
468	||	a-SrSiO3		||	Sr	0.8	K	0.2			||	Si	0.4	Ge	0.6			||					||	O	2.9	||	1067.367916	6.603978163
469	||	a-SrSiO3		||	Sr	0.85	K	0.15			||	Si	0.5	Ge	0.5			||					||	O	2.925	||	1006.084265	6.003852751
470	||	a-SrSiO3		||	Sr	0.75	K	0.25			||	Si	0.5	Ge	0.5			||					||	O	2.875	||	1060.821651	6.165096241
471	||	a-SrSiO3		||	Sr	0.8	K	0.2			||	Si	0.6	Ge	0.4			||					||	O	2.9	||	1171.931028	6.965634827
472	||	a-SrSiO3		||	Sr	0.9	Na	0.1			||	Si	1					||					||	O	2.95	||	715.9226521	4.170205825
473	||	a-SrSiO3		||	Sr	0.85	Na	0.15			||	Si	1					||					||	O	2.925	||	697.0465833	4.365970268
474	||	a-SrSiO3		||	Sr	0.8	Na	0.2			||	Si	1					||					||	O	2.9	||	689.9803347	4.74408043
475	||	a-SrSiO3		||	Sr	0.75	Na	0.25			||	Si	1					||					||	O	2.875	||	670.972589	4.934268429
476	||	a-SrSiO3		||	Sr	0.7	Na	0.3			||	Si	1					||					||	O	2.85	||	664.4401508	4.876808366
477	||	a-SrSiO3		||	Sr	0.65	Na	0.35			||	Si	1					||					||	O	2.825	||	659.9254753	5.113433637
478	||	a-SrSiO3		||	Sr	0.6	Na	0.4			||	Si	1					||					||	O	2.8	||	640.5519275	5.087830837
479	||	a-SrSiO3		||	Sr	0.55	Na	0.45			||	Si	1					||					||	O	2.775	||	640.3171002	5.126390837
480	||	a-SrSiO3		||	Sr	0.85	K	0.15			||	Si	1					||					||	O	2.925	||	1114.063189	5.953881899
481	||	a-SrSiO3		||	Sr	0.8	K	0.2			||	Si	1					||					||	O	2.9	||	1184.785658	6.475558778
482	||	a-SrSiO3		||	Sr	0.55	Na	0.45			||	Si	1					||					||	O	2.775	||	315.0589841	3.555164488
483	||	Bi2UO6		||	Bi	2					||	U	1					||					||	O	6	||	855.8621639	8.430254089
STOP
