No.	||	Structure type		||	M1	n_m1	D1	n_d1	D1'	n_d1'	||	M2	n_m2	D2	n_d2	D2'	n_d2'	||	M3	n_m3	D3	n_d3	||	O	nO	||	Ea	Log10A
71	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.9	Ti	0.1			||					||	O	10.95	||	517.1489665	1.157412374
72	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Ti	0.2			||					||	O	10.9	||	917.6176907	5.598423427
73	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.9	Ge	0.1			||					||	O	10.95	||	588.0730364	1.368776406
74	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Ge	0.2			||					||	O	10.9	||	519.0750037	0.445116707
75	||	Perovskite-related,brownmillerites		||	Ba	1.78	Pb	0.16			||	In	2					||					||	O	5	||	974.428513	5.808392589
76	||	Perovskite-related,brownmillerites		||	Ba	1.6	Pb	0.18			||	In	2					||					||	O	5	||	1039.835239	6.031862988
77	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	2					||					||	O	11	||	878.7124912	5.243880729
78	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.9	Pb	0.1			||					||	O	10.95	||	884.5284177	5.476075642
79	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.9	Zr	0.1			||					||	O	10.95	||	750.0518922	4.422849196
80	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.9	Sn	0.1			||					||	O	10.95	||	1011.620825	7.454237187
81	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Zr	0.2			||					||	O	10.9	||	914.9625847	6.657962531
82	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.75	Zr	0.25			||					||	O	10.875	||	915.8841491	5.471404742
83	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.7	Zr	0.3			||					||	O	10.85	||	952.7176358	5.450649402
84	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Sn	0.2			||					||	O	10.9	||	941.3499344	6.429245973
85	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.75	Sn	0.25			||					||	O	10.875	||	908.1998447	6.343910871
86	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.7	Sn	0.3			||					||	O	10.85	||	910.2959282	6.925645982
87	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.6	Sn	0.4			||					||	O	10.8	||	860.6462184	5.044234686
88	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Ti	0.2			||					||	O	10.9	||	811.932582	6.492315876
89	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.7	Ti	0.3			||					||	O	10.85	||	698.8758851	6.176667048
90	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Mg	0.2			||					||	O	10.7	||	910.9872765	9.188746587
91	||	Perovskite-related,brownmillerites		||	Ba	2	La	0			||	In	2					||					||	O	5	||	1046.710787	4.795395665
92	||	Perovskite-related,brownmillerites		||	Ba	1.6	La	0.4			||	In	2					||					||	O	5.2	||	1021.702182	5.779554375
93	||	Perovskite-related,brownmillerites		||	Ba	1.2	La	0.8			||	In	2					||					||	O	5.4	||	851.7823631	4.976244887
94	||	Perovskite-related,brownmillerites		||	Ba	1	La	1			||	In	2					||					||	O	5.5	||	710.6179993	4.086774239
95	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	1.5	Ga	0.5			||					||	O	5	||	902.2975764	5.364597806
96	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	1.4	Ga	0.6			||					||	O	5	||	865.7845186	4.652287534
97	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	1.3	Ga	0.7			||					||	O	5	||	877.5559235	4.613630235
98	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	1.2	Ga	0.8			||					||	O	5	||	834.6325901	4.222647683
99	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	1.1	Ga	0.9			||					||	O	5	||	830.6056246	4.204137748
100	||	Perovskite-related,brownmillerites		||	Sr	1					||	Fe	1					||					||	O	2.5	||	2940.035003	16.01755795
101	||	Perovskite-related,Ruddlesden-Popper		||	Sr	3					||	Fe	2					||					||	O	6	||	1336.273601	6.965256403
102	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	2					||					||	O	5	||	1046.710787	4.795395665
103	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	1.9	P	0.1			||					||	O	5.1	||	1021.702182	5.779554375
104	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	1.8	P	0.2			||					||	O	5.2	||	851.7823631	4.976244887
105	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	1.7	P	0.3			||					||	O	5.3	||	710.6179993	4.086774239
106	||	Perovskite-related,Ruddlesden-Popper		||	Pr	1.9					||	Ni	0.71	Cu	0.24	Ga	0.05	||					||	O	4	||	1197.183703	8.038061345
107	||	Perovskite-related,others(Nd-layered)		||	Nd	1					||	Ba	1					||	In	1			||	O	4	||	1031.218187	2.943642237
108	||	Perovskite-related,others(A-site-vacancies)		||	Sr	11					||	Mo	4					||					||	O	23	||	457.527235	-0.229464656
109	||	Perovskite-related,others(Nd-layered)		||	Nd	1					||	Ba	1					||	In	1			||	O	4	||	887.6297128	3.920430117
110	||	Perovskite-related,others(Nd-layered)		||	Nd	0.9	Sr	0.1			||	Ba	1					||	In	1			||	O	3.95	||	989.1197783	2.875158909
111	||	Perovskite-related,hexagonal		||	Ba	3					||	Nb	1	Mo	1			||					||	O	8.5	||	1152.848652	7.071605859
112	||	Perovskite-related,others(Nd-layered)		||	Nd	0.95	Ca	0.05			||	Ba	1					||	In	1			||	O	3.975	||	867.5023052	5.092613685
113	||	Perovskite-related,others(Nd-layered)		||	Nd	0.9	Ca	0.1			||	Ba	1					||	In	1			||	O	3.95	||	804.5045341	4.864805386
114	||	Perovskite-related,others(Nd-layered)		||	Nd	0.8	Ca	0.2			||	Ba	1					||	In	1			||	O	3.9	||	632.491129	3.99509078
115	||	Perovskite-related,others(Nd-layered)		||	Nd	0.95					||	Ba	1.05					||	In	1			||	O	3.975	||	967.9847659	5.05318412
116	||	Perovskite-related,others(Nd-layered)		||	Nd	0.9					||	Ba	1.1					||	In	1			||	O	3.95	||	938.9265923	5.141565707
117	||	Perovskite-related,others(Nd-layered)		||	Nd	0.6					||	Ba	1.4					||	In	1			||	O	3.8	||	1046.065504	4.879918441
118	||	Perovskite-related,others(Nd-layered)		||	Nd	0.8					||	Ba	1.2					||	In	1			||	O	3.9	||	936.8507236	4.998045527
119	||	Perovskite-related,others(Nd-layered)		||	Nd	0.9					||	Ba	1.1					||	In	1			||	O	3.95	||	846.1960231	4.628607199
120	||	Perovskite-related,hexagonal		||	Ba	3					||	W	1	Nb	1			||					||	O	8.5	||	1723.945674	10.14690408
121	||	Perovskite-related,hexagonal		||	Ba	3					||	Mo	1	Nb	1			||					||	O	8.5	||	999.2518443	6.130203591
122	||	Perovskite-related,others(Ti-layered)		||	Bi	4					||	Ti	3					||					||	O	12	||	707.4443597	3.57695885
123	||	Perovskite-related,others(Ti-layered)		||	Bi	3.94					||	Ti	3					||					||	O	11.91	||	751.9089662	4.175571208
124	||	Perovskite-related,others(Ti-layered)		||	Bi	3.88					||	Ti	3					||					||	O	11.82	||	772.2886114	4.536271121
125	||	Perovskite-related,others(Ti-layered)		||	Bi	3.88					||	Ti	2.96	Mg	0.04			||					||	O	11.78	||	696.0492934	4.626565566
126	||	Perovskite-related,others(Ti-layered)		||	Bi	3.88					||	Ti	2.92	Mg	0.08			||					||	O	11.74	||	675.0457362	4.642618987
127	||	Perovskite-related,others(Ti-layered)		||	Bi	3.88					||	Ti	2.88	Mg	0.12			||					||	O	11.7	||	716.0407518	4.664072979
128	||	Perovskite-related,Ruddlesden-Popper		||	La	2					||	Ni	1					||					||	O	4.16	||	677.4774727	4.916302966
129	||	Perovskite-related,Ruddlesden-Popper		||	Nd	2					||	Ni	1					||					||	O	4.21	||	1243.563098	7.713044893
130	||	Perovskite-related,Ruddlesden-Popper		||	La	3					||	Ni	2					||					||	O	6.92	||	801.6853194	4.123107512
131	||	Perovskite-related,Ruddlesden-Popper		||	La	4					||	Ni	3					||					||	O	9.85	||	1442.852702	5.828722773
132	||	Perovskite-related,Ruddlesden-Popper		||	Pr	4					||	Ni	3					||					||	O	9.79	||	920.1542756	3.293103137
133	||	Perovskite-related,Ruddlesden-Popper		||	Nd	4					||	Ni	3					||					||	O	9.78	||	1542.493858	6.436520243
134	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	4	Mo	1			||					||	O	20	||	507.2612522	3.406484363
135	||	Perovskite-related,Dion-Jacobson		||	Cs	1					||	Bi	2					||	Ti	2	Nb	1	||	O	9.97	||	320.5905202	1.454091869
136	||	Perovskite-related,hexagonal		||	Ba	3					||	Nb	0.9	V	0.1	Mo	1	||					||	O	8.5	||	1123.194738	7.105659215
137	||	Perovskite-related,hexagonal		||	Ba	3					||	V	1	W	1			||					||	O	8.5	||	1222.349113	5.658605835
138	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	3.9	Mo	1.1			||					||	O	20.05	||	388.6284691	2.930759838
139	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	4			Mo	1	||					||	O	20	||	573.7348487	3.19520674
140	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	3.95	Cr	0.05	Mo	1	||					||	O	20.025	||	524.4980511	3.060342507
141	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	3.9	Cr	0.1	Mo	1	||					||	O	20.05	||	616.0512914	3.913299688
142	||	Perovskite-related,hexagonal		||	Ba	7					||	Nb	3.85	Cr	0.15	Mo	1	||					||	O	20.075	||	538.1388141	3.371359944
