Atom	zElectronegativity	zElectronegativityFromH	zElectronegativityFromO	zMass	zValence	zRadius01	zRadius02	zRadius03	zRadius04	zRadius05	zRadius06	zRadius07	zRadius08	zRadius09	zRadius10	zRadius11	zRadius12	zRadius13	zRadius14	zXensity	zMolDensity	zFilling	zPorosity	zBulkModulus	zShearModulus	zPoissonRatio	zThermalConductivity	zThermalExpansion	zSuperconducting	zOuterPrincipal	zOuterAzimuthal	zOuterNelectron	zOuterNnonquenched	zOuterRnonquenched	zOuterFillingnonquenched	zDebyeTemp	zHubbardU	zMMSusc
Mg	-0.16181578016362141437	-0.16181583955243009076	-0.16181578627477841148	-1.37714284412426279935	-0.27079823635551836247	-0.44270496708748641179	-0.63246200865141533054	0.53356960129376529434	0.19541474476175532682	0.31504026459306272434	0.05521606830542375582	0.35458600870869116939	0.47316295480072373403	0.58554080525030760551	0.69459109614931191512	0.79824330682195854259	0.89653431131536109877	-0.15985249364112497084	-0.09166984970282122946	-0.74230312740844195396	0.33899402992070409857	-0.18102463131219936887	0.18102466598217920035	-0.09033577666773096038	-0.15020996656167212580	1.00181749650833884502	1.53049476649998572597	0.67499272714829983144	-0.36334680783921063929	-0.85498196007096172178	-1.57263126555582011257	-1.83820519959656802911	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	0.77448082693943831600	-0.56610885442594327532	-0.18659271794095899644
Al	0.19556876498302622203	0.19556868328167048565	0.19556875044346985759	-1.34698336147662622864	0.20708089885735195268	-0.44270496708748641179	-0.63246200865141533054	0.07191663991641430997	-0.23268737668757102921	-0.09881202381429927961	-0.30552457806903537962	-0.02858070976340581007	0.47316295480072373403	0.37692088322012445856	0.29404052956255277707	0.22012455452168516734	0.15336227610664204812	-0.15985249364112497084	-0.09166984970282122946	-0.58229110424242891408	0.92737568368159495336	-0.35033684722025948410	0.35033686841789440924	0.27509385491552168501	0.05303077997629565554	1.39281305021931256505	2.53424681450510513869	0.58263340302310484553	0.38352832745241011159	-1.53896752812773107699	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	0.87589532983568429980	-0.56610885442594327532	-0.18641321560140222680
Si	0.54104049195811865225	0.54104038868796766604	0.54104046927111015819	-1.33454944757690685542	0.68496003407022221232	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-0.54187224217875129550	-0.42920410072617648511	-0.56876775245039756790	-0.31112198507733951347	-0.26240273238869971095	-0.21214591480328343076	-0.16258711634635250598	-0.11448357180968531110	-0.06823811257377594697	-0.15985249364112497084	-0.09166984970282122946	-0.64402907651398233480	0.57366074891137031067	-0.49910852509182296322	0.49910853445154362840	0.55800711807674951981	-0.53410915446672235785	-0.88799434642803343198	1.39666116009930307840	-0.34095983822884490255	-0.36334680783921063929	-1.53896752812773107699	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	1.66185772728159042444	-0.56610885442594327532	-0.18750262384790272741
P	0.88651221893321141554	0.88651209409426479091	0.88651218809875032001	-1.30199860487930574315	1.16283916928309261074	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-0.75592330290341447352	-0.53565610602207014423	-0.60776674124763641061	-0.28991579664318117837	-0.18217364555702372786	-0.07824985575482046318	0.02093787052612615732	0.11501205410345353986	0.20403309668905472707	-0.15985249364112497084	-0.09166984970282122946	-0.72896879214460752472	0.07389377711481914801	-0.53007244395532615577	0.53007245085121679207	-0.49112956614613706430	-0.53410915446672235785	-0.88799434642803343198	-0.60768446279987986536	-0.47949882441663732591	-0.36334680783921063929	-1.53896752812773107699	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.67429778586407540519	-0.56610885442594327532	-0.18880658012882581276
S	1.35111212762385335395	1.35111197377859548752	1.35111208583247321968	-1.28975877263623517344	-2.18231477720699951206	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-1.16024197316111177258	-1.20241812623393085069	2.23915944095079888498	-1.26706369507989058398	-1.29425999767926214190	-1.31100394047862978120	-1.32636858072024499400	-1.33904420168208249109	-1.34987206783826674261	-0.15985249364112497084	-0.09166984970282122946	-0.68779903201751879660	0.19195026877819904021	5.31094872595458333819	-5.31094825428269423639	-0.53003013983080582427	-0.53410915446672235785	-0.88799434642803343198	-0.60809934697972189976	-0.47949882441663732591	-0.36334680783921063929	-0.85498196007096172178	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.67429778586407540519	-0.56610885442594327532	-0.18816122647946695312
Cl	2.04205558157403910258	2.04205538459118951522	2.04205552348775398741	-1.25155993287551114967	-1.70443564199412933569	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-1.16024197316111177258	-1.20241812623393085069	2.18066095775494073195	-1.26706369507989058398	-1.29425999767926214190	-1.31100394047862978120	-1.32636858072024499400	-1.33904420168208249109	-1.34987206783826674261	-0.15985249364112497084	-0.09166984970282122946	-1.03178921247761601343	-1.13824102388398484820	-0.56998162579974631647	0.56998162952002229265	-0.60783128720014356627	-0.53410915446672235785	-0.88799434642803343198	-0.61072382400123936819	-0.47949882441663732591	-0.36334680783921063929	-0.85498196007096172178	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.67429778586407540519	-0.56610885442594327532	-0.18949467243046008713
Ar	-1.72239496063731611919	-1.72239492259466930868	-1.72239492994446363738	-1.20087604460302266318	-1.22655602890212378497	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-1.16024197316111177258	-1.20241812623393085069	-1.34874752839517442204	-1.26706369507989058398	-1.29425999767926214190	-1.31100394047862978120	-1.32636858072024499400	-1.33904420168208249109	-1.34987206783826674261	-0.15985249364112497084	-0.09166984970282122946	-1.03202756372045700850	-1.13919142616198887374	-0.57796699551806318684	0.57796699860293532236	-0.62079814509503317144	-0.53410915446672235785	-0.88799434642803343198	-0.61060578276039390033	-0.47949882441663732591	-0.36334680783921063929	-0.85498196007096172178	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.34107870491926728373	-0.56610885442594327532	-0.18833645495379616741
K	-0.74554387056981263893	-0.74554389351479410930	-0.74554386291458452085	-1.21045054435071808285	-0.74867737156838864987	3.55328581461002945829	2.80670448328021526763	2.70996944369569447986	2.09809084009209589894	1.93596172752189676913	1.34218269861430528067	1.76833190431924935915	1.50581456748565911674	1.62864041540122328477	1.56851960506587695399	1.49321212208716613823	1.42013279066695830011	5.81614673150271066504	-0.09166984970282122946	-0.88398043958668270914	-0.66981666634248215875	0.31071160926220964260	-0.31071153546427637826	-0.58425518193670789024	-0.50475215774457149465	-0.88799434642803343198	0.72749312809589006257	-0.47949882441663732591	-0.36334680783921063929	-0.85498196007096172178	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.34470065145127609663	-0.56610885442594327532	-0.18619097460957004242
Ca	-0.53111314348182403489	-0.53111317981433392443	-0.53111314088363525965	-1.19941119234081194911	-0.27079823635551836247	1.55959198468567294960	1.23723837243537526653	1.31496370512670268660	0.90392375576039085683	0.95145311698838352932	0.60120191146676760230	0.93671667160715643696	0.92991270656521463067	0.92691885948151619967	0.91307322337845298055	0.90966255726528411074	0.91342458484283195475	-0.15985249364112497084	-0.09166984970282122946	-0.77563896556802802706	-0.34622535160117046127	-0.00716028355144097267	0.00716033205598391644	-0.42040125035583009172	-0.36700009620217105555	1.13214934774533015904	2.06582919210271587218	0.53645374096050724155	-0.36334680783921063929	-0.85498196007096172178	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	0.15874991649794495396	-0.56610885442594327532	-0.18494685244183253769
Sc	-0.10225168930584677129	-0.10225175241341327714	-0.10225169682173720909	-1.14444646488961643271	0.20708089885735195268	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	0.23013858350153415522	0.32607632561725885534	0.10396480430197234390	0.41363069023124970913	0.43344558508207231551	0.46207574230335363152	0.48648686996355477996	0.51181174318227762310	0.53727819338605520283	-0.15985249364112497084	-0.09166984970282122946	-0.53395413891102916359	0.23403656095851130270	-0.16943524517234120896	0.16943528076450045661	0.05112085491288297090	0.12077769548895159191	0.93665157088984363210	-0.39670916566984376628	-0.01770220379066246227	-0.33156488718850329889	-0.85498196007096172178	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	0.62960296565908691058	0.19020341482399150124	-0.17040331645902956348
