Atom	Electronegativity	ElectronegativityFromH	ElectronegativityFromO	Mass	Valence	Radius01	Radius02	Radius03	Radius04	Radius05	Radius06	Radius07	Radius08	Radius09	Radius10	Radius11	Radius12	Radius13	Radius14	Xensity	MolDensity	Filling	Porosity	BulkModulus	ShearModulus	PoissonRatio	ThermalConductivity	ThermalExpansion	Superconducting	OuterPrincipal	OuterAzimuthal	OuterNelectron	OuterNnonquenched	OuterRnonquenched	OuterFillingnonquenched	DebyeTemp	HubbardU	MMSusc
Pr	1.13	-1.07	-2.31	140.90766	3	0.6897	0.7567	0.8225	0.8843	0.9399	0.99	1.0561	1.126	1.179	1.228	1.2688	1.3043	0	0	6.77	0.048046	0.117598	0.882402	29	15	0.28	13	0.000007	0	4	3	2	2	0.142857	0.058799	200	5.6	596.04
Nd	1.14	-1.06	-2.3	144.242	3	0.6716	0.7382	0.8039	0.8665	0.9243	0.983	1.0425	1.109	1.163	1.2087	1.2456	1.27	0	0	7.01	0.048599	0.116446	0.883554	32	16	0.28	17	0.00001	0	4	3	3	3	0.214286	0.038815	200	6.7	692.35
Pm	1.13	-1.07	-2.31	145	3	0	0	0	0.847	0.9085	0.97	1.0315	1.093	1.144	1.195	1.246	1.297	0	0	7.26	0.050069	0.115272	0.884728	33	18	0.28	15	0.000011	0	4	3	4	4	0.285714	0.028818	200	7.1	0
Sm	1.17	-1.03	-2.27	150.36	3	0.6383	0.7045	0.7707	0.8354	0.8977	0.958	1.02	1.079	1.132	1.1758	1.2084	1.24	0	0	7.52	0.050013	0.110923	0.889077	38	20	0.27	13	0.000013	0	4	3	5	5	0.357143	0.022185	200	5.7	166.9
Eu	1.2	-1	-2.24	152	3	0.623	0.6893	0	0.8215	0.8854	0.947	1.01	1.066	1.12	1.1624	1.1943	1.2238	0	0	5.24	0.034474	0.073855	0.926145	8.3	7.9	0.15	14	0.000035	1.8	4	3	6	6	0.428571	0.012309	200	10.7	419.42
Gd	1.2	-1	-2.24	157.25	3	0.6087	0.675	0	0.8084	0.8734	0.938	1	1.053	1.107	1.1503	1.181	1.2117	0	0	7.9	0.050238	0.104589	0.895411	38	22	0.26	11	0.000009	0	4	3	7	7	0.5	0.014941	200	12.3	0
Tb	1.1	-1.1	-2.34	158.92535	3	0.5952	0.6617	0	0.8002	0.8616	0.923	0.98	1.04	1.095	1.1393	1.1702	1.2011	0	0	8.23	0.051785	0.102719	0.897281	38.7	22	0.26	11	0.00001	0	4	3	8	6	0.428571	0.01712	200	5.5	21613.85
Dy	1.22	-0.98	-2.22	162.5	3	0	0.6492	0.7167	0.7842	0.8501	0.912	0.97	1.027	1.083	1.129	1.16035	1.1917	0	0	8.55	0.052615	0.100679	0.899321	41	25	0.25	11	0.00001	0	4	3	9	5	0.357143	0.020136	210	6.5	8856.25
Ho	1.23	-0.97	-2.21	164.93033	3	0	0.6375	0.7053	0.773	0.8391	0.901	0.9569	1.015	1.072	1.12	1.1531	1.1833	0	0	8.8	0.053356	0.098446	0.901554	40	26	0.23	16	0.000011	0	4	3	10	4	0.285714	0.024611	200	7.2	9054.67
Er	1.24	-0.96	-2.2	167.259	3	0	0.6266	0.6946	0.767	0.8285	0.89	0.945	1.004	1.062	1.1094	1.1568	1.2042	0	0	9.07	0.054227	0.096433	0.903567	44	28	0.24	15	0.000012	0	4	3	11	3	0.214286	0.032144	200	7.6	6305.66
Tm	1.25	-0.95	-2.19	168.93422	3	0	0	0.6845	0.7702	0.8251	0.88	0.9349	0.994	1.052	1.0997	1.1339	1.1681	0	0	9.32	0.055169	0.094839	0.905161	45	31	0.21	17	0.000013	0	4	3	12	2	0.142857	0.047419	200	6.7	3361.79
Yb	1.1	-1.1	-2.34	173.045	3	0	0.6067	0.675	0.749	0.8085	0.868	0.925	0.985	1.042	1.0903	1.1257	1.1611	0	0	6.9	0.039874	0.065779	0.934221	31	10	0.21	39	0.000026	0	4	3	13	1	0.071429	0.065779	120	0	10.2
Lu	1.27	-0.93	-2.17	174.9668	3	0	0.5747	0.6464	0.7196	0.7903	0.861	0.9176	0.977	1.032	1.0789	1.1258	1.1727	0	0	9.84	0.056239	0.09055	0.90945	48	27	0.26	16	0.00001	0.1	4	3	14	0.000001	0.000001	0.000001	210	0	2.1
Hf	1.3	-0.9	-2.14	178.49	4	0	0	0	0.58	0.645	0.71	0.76	0.83	0.9	0.97	1.04	1.11	0	0	13.3	0.074514	0.067275	0.932725	110	30	0.37	23	0.000006	0.128	4	3	14	0.000001	0.000001	0.000001	252	3.515	9.46
Ta	1.5	-0.7	-1.94	180.94788	5	0	0	0	0.4962	0.5736	0.64	0.69	0.74	0.79	0.84	0.89	0.94	0	0	16.4	0.090634	0.059934	0.940066	200	67	0.34	57	0.000006	4.47	4	3	14	0.000001	0.000001	0.000001	240	3.733	19.36
W	2.36	0.16	-1.08	183.84	6	0	0	0.3367	0.42	0.51	0.6	0.6631	0.7187	0.7743	0.8299	0.8855	0.9411	0	0	19.3	0.104983	0.057202	0.942798	310	161	0.28	170	0.000005	0.015	4	3	14	0.000001	0.000001	0.000001	400	1.844	8.44
Re	1.9	-0.3	-1.54	186.207	7	0	0	0	0.38	0.4579	0.53	0.5979	0.6658	0.7337	0.8016	0.8695	0.9374	0	0	20.8	0.111704	0.04195	0.95805	370	178	0.3	48	0.000006	1.7	4	3	14	0.000001	0.000001	0.000001	430	0.62	8.49
Os	2.2	0.000001	-1.24	190.23	4	0	0	0	0	0	0.63	0	0	0	0	0	0	0	0	22.57	0.118646	0.074837	0.925163	0	222	0.25	87	0.000005	0.66	5	2	4	2	0.333333	0.037418	500	1.911	1.1
Ir	2.2	0.000001	-1.24	192.217	4	0	0	0	0.4785	0.55175	0.625	0.69825	0.7715	0.84475	0.918	0.99125	1.0645	0	0	22.42	0.116639	0.071833	0.928167	320	210	0.26	150	0.000006	0.11	5	2	5	1	0.166667	0.071833	420	1.902	3.21
Pt	2.28	0.08	-1.16	195.084	2	0	0.6017	0	0.8227	0.81135	0.8	1.0468	1.1047	1.1626	1.2205	1.2784	1.3363	0	0	21.46	0.110004	0.142075	0.857925	230	61	0.38	71	0.000009	0	5	2	8	2	0.5	0.071037	240	1.554	23.8
Au	2.54	0.34	-0.9	196.966569	3	0	0	0	0.685	0.7722	0.85	0.88985	0.9297	0.9794	1.0291	1.08545	1.1418	0	0	19.282	0.097895	0.151655	0.848345	220	27	0.44	320	0.000014	0	5	2	8	2	0.5	0.075827	165	1.12	-3.51
Hg	2	-0.2	-1.44	200.592	1	0.6784	0.8199	0.97	1.1319	1.269	1.19	1.4382	1.4848	1.5213	1.554	1.5867	1.6194	0	0	13.5336	0.067468	0.286801	0.713199	25	0	0	8.3	0.000181	4.154	6	0.000001	1	1	0.5	0.286801	71.9	0.521	-4.21
Tl	1.62	-0.58	-1.82	204.38	3	0.4459	0.5541	0.6582	0.75	0.8264	0.885	0.9328	0.98	1.0404	1.1008	1.1612	1.2138	0	0	11.8	0.057736	0.100952	0.899048	43	2.8	0.45	46	0.00003	2.38	5	2	10	0.000001	0.000001	0.000001	78.5	0	-6.13
Pb	2.33	0.13	-1.11	207.2	2	0.6395	0.7564	0.8742	0.98	1.1015	1.19	1.23	1.29	1.35	1.4	1.45	1.49	0	0	11.342	0.054739	0.232691	0.767309	46	5.6	0.44	35	0.000029	7.2	6	0.000001	2	0.000001	0.000001	0.000001	105	0	-3.11
Bi	2.02	-0.18	-1.42	208.9804	3	0.5571	0.6612	0.7666	0.8679	0.96	1.03	1.0998	1.17	1.2276	1.282	1.332	1.3801	0	0	9.807	0.046928	0.129355	0.870645	31	12	0.33	8	0.000013	0	6	0.000001	2	0.000001	0.000001	0.000001	119	0	-36
Po	2	-0.2	-1.44	209	4	0	0	0	0.8	0.87	0.94	1.01	1.08	1.15	1.22	1.29	1.36	0	0	9.32	0.044593	0.093431	0.906569	0	0	0	0	0	0	6	0.000001	2	0.000001	0.000001	0.000001	0	0	0
