Reference,DOI,Year,Class,Formula,Parsed_Formula_SiteA1,Parsed_Formula_nSiteA1,Parsed_Formula_SiteA2,Parsed_Formula_nSiteA2,Parsed_Formula_SiteA3,Parsed_Formula_nSiteA3,Parsed_Formula_SiteB1,Parsed_Formula_nSiteB1,Parsed_Formula_SiteB2,Parsed_Formula_nSiteB2,Parsed_Formula_SiteB3,Parsed_Formula_nSiteB3,Parsed_Formula_SiteC1,Parsed_Formula_nSiteC1,Parsed_Formula_SiteC2,Parsed_Formula_nSiteC2,Parsed_Formula_O,Parsed_Formula_nO,Ea,A,EaHT,AHT,T*,Type_of_conductivity,Measurement_temperature_range,Measurement,Source,Plot type
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.75Sr0.25Ga0.95Mg0.05O2.85,La,0.75,Sr,0.25,,,Ga,0.95,Mg,0.05,,,,,,,O,2.85,835,1092522.718,615,51174.67194,834.0391986,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.75Sr0.25Ga0.9Mg0.1O2.825,La,0.75,Sr,0.25,,,Ga,0.9,Mg,0.1,,,,,,,O,2.825,976,7952524.632,753,378510.8435,849.8546933,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.75Sr0.25Ga0.85Mg0.15O2.8,La,0.75,Sr,0.25,,,Ga,0.85,Mg,0.15,,,,,,,O,2.8,1067,30280060.97,798,769887.7469,850.1131195,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.75Sr0.25Ga0.8Mg0.2O2.775,La,0.75,Sr,0.25,,,Ga,0.8,Mg,0.2,,,,,,,O,2.775,1118,59352215.04,851,1548813.946,849.8097473,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.75Sr0.25Ga0.75Mg0.25O2.75,La,0.75,Sr,0.25,,,Ga,0.75,Mg,0.25,,,,,,,O,2.75,1167,95725951.96,869,1718564.659,860.235423,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.75Sr0.25Ga0.7Mg0.3O2.725,La,0.75,Sr,0.25,,,Ga,0.7,Mg,0.3,,,,,,,O,2.725,1168,82887928.97,869,1419762.27,853.1475088,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.7Sr0.3Ga0.95Mg0.05O2.825,La,0.7,Sr,0.3,,,Ga,0.95,Mg,0.05,,,,,,,O,2.825,839,602594.6335,598,21720.24383,841.6156688,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.7Sr0.3Ga0.9Mg0.1O2.8,La,0.7,Sr,0.3,,,Ga,0.9,Mg,0.1,,,,,,,O,2.8,1028,7319115.168,798,320936.9611,853.5462642,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.7Sr0.3Ga0.85Mg0.15O2.775,La,0.7,Sr,0.3,,,Ga,0.85,Mg,0.15,,,,,,,O,2.775,1148,50982857.16,833,725778.3905,859.6950161,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.7Sr0.3Ga0.8Mg0.2O2.75,La,0.7,Sr,0.3,,,Ga,0.8,Mg,0.2,,,,,,,O,2.75,1134,49426634.66,896,1901207.94,847.7210905,bulk,600 - 1100 K,two-probe AC,Table 3,-
