Atom	zElectronegativity	zElectronegativityFromH	zElectronegativityFromO	zMass	zValence	zRadius01	zRadius02	zRadius03	zRadius04	zRadius05	zRadius06	zRadius07	zRadius08	zRadius09	zRadius10	zRadius11	zRadius12	zRadius13	zRadius14	zXensity	zMolDensity	zFilling	zPorosity	zBulkModulus	zShearModulus	zPoissonRatio	zThermalConductivity	zThermalExpansion	zSuperconducting	zOuterPrincipal	zOuterAzimuthal	zOuterNelectron	zOuterNnonquenched	zOuterRnonquenched	zOuterFillingnonquenched	zDebyeTemp	zHubbardU	zMMSusc
Mg	-0.16181578016362102075	-0.16181583955243049246	-0.16181578627477743849	-1.37714284412426282809	-0.27079823635551853481	-0.44270496708748613863	-0.63246200865141492028	0.53356960129376533537	0.19541474476175571865	0.31504026459306250146	0.05521606830542400633	0.35458600870869088603	0.47316295480072358628	0.58554080525030715855	0.69459109614931167665	0.79824330682195911076	0.89653431131536095983	-0.15985249364112525410	-0.09166984970282112961	-0.74230312740844188463	0.33899402992070413345	-0.18102463131219915962	0.18102466598217890480	-0.09033577666773095138	-0.15020996656167199011	1.00181749650833855066	1.53049476649998483942	0.67499272714829965613	-0.36334680783921052298	-0.85498196007096174622	-1.57263126555581959193	-1.83820519959656827457	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	0.77448082693943720865	-0.56610885442594343877	-0.18659271794095905370
Al	0.19556876498302663181	0.19556868328166999111	0.19556875044347109362	-1.34698336147662610612	0.20708089885735199431	-0.44270496708748613863	-0.63246200865141492028	0.07191663991641455979	-0.23268737668757068357	-0.09881202381429940758	-0.30552457806903536512	-0.02858070976340636776	0.47316295480072358628	0.37692088322012395497	0.29404052956255264951	0.22012455452168567801	0.15336227610664173807	-0.15985249364112525410	-0.09166984970282112961	-0.58229110424242885613	0.92737568368159472058	-0.35033684722025906235	0.35033686841789358457	0.27509385491552170117	0.05303077997629562362	1.39281305021931196592	2.53424681450510377130	0.58263340302310472031	0.38352832745240962042	-1.53896752812773114313	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	0.87589532983568302001	-0.56610885442594343877	-0.18641321560140228595
Si	0.54104049195811936251	0.54104038868796712518	0.54104046927111134132	-1.33454944757690694931	0.68496003407022252343	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-0.54187224217875086291	-0.42920410072617666488	-0.56876775245039760915	-0.31112198507734026257	-0.26240273238870002380	-0.21214591480328425437	-0.16258711634635264132	-0.11448357180968470264	-0.06823811257377635711	-0.15985249364112525410	-0.09166984970282112961	-0.64402907651398221629	0.57366074891137044744	-0.49910852509182239314	0.49910853445154319491	0.55800711807674956117	-0.53410915446672192715	-0.88799434642803295645	1.39666116009930231523	-0.34095983822884463809	-0.36334680783921052298	-1.53896752812773114313	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	1.66185772728158805806	-0.56610885442594343877	-0.18750262384790276440
P	0.88651221893321209333	0.88651209409426425927	0.88651218809875158896	-1.30199860487930566271	1.16283916928309305255	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-0.75592330290341406402	-0.53565610602207031147	-0.60776674124763646015	-0.28991579664318186868	-0.18217364555702423050	-0.07824985575482121646	0.02093787052612604019	0.11501205410345414480	0.20403309668905441232	-0.15985249364112525410	-0.09166984970282112961	-0.72896879214460746558	0.07389377711481934074	-0.53007244395532553978	0.53007245085121582512	-0.49112956614613708642	-0.53410915446672192715	-0.88799434642803295645	-0.60768446279987944078	-0.47949882441663704185	-0.36334680783921052298	-1.53896752812773114313	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.67429778586407438214	-0.56610885442594343877	-0.18880658012882585569
S	1.35111212762385404145	1.35111197377859488784	1.35111208583247468054	-1.28975877263623509266	-2.18231477720700065134	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-1.16024197316111122159	-1.20241812623393116478	2.23915944095079966041	-1.26706369507989217429	-1.29425999767926294985	-1.31100394047863105568	-1.32636858072024523274	-1.33904420168208206456	-1.34987206783826759664	-0.15985249364112525410	-0.09166984970282112961	-0.68779903201751869680	0.19195026877819910117	5.31094872595457851783	-5.31094825428269298262	-0.53003013983080591719	-0.53410915446672192715	-0.88799434642803295645	-0.60809934697972155661	-0.47949882441663704185	-0.36334680783921052298	-0.85498196007096174622	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.67429778586407438214	-0.56610885442594343877	-0.18816122647946700028
Cl	2.04205558157403950308	2.04205538459118915613	2.04205552348775517591	-1.25155993287551116962	-1.70443564199413012217	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-1.16024197316111122159	-1.20241812623393116478	2.18066095775494138398	-1.26706369507989217429	-1.29425999767926294985	-1.31100394047863105568	-1.32636858072024523274	-1.33904420168208206456	-1.34987206783826759664	-0.15985249364112525410	-0.09166984970282112961	-1.03178921247761595109	-1.13824102388398426088	-0.56998162579974562817	0.56998162952002172339	-0.60783128720014357869	-0.53410915446672192715	-0.88799434642803295645	-0.61072382400123894090	-0.47949882441663704185	-0.36334680783921052298	-0.85498196007096174622	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.67429778586407438214	-0.56610885442594343877	-0.18949467243046013199
Ar	-1.72239496063731576986	-1.72239492259466927062	-1.72239492994446269499	-1.20087604460302261331	-1.22655602890212438020	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-1.16024197316111122159	-1.20241812623393116478	-1.34874752839517462848	-1.26706369507989217429	-1.29425999767926294985	-1.31100394047863105568	-1.32636858072024523274	-1.33904420168208206456	-1.34987206783826759664	-0.15985249364112525410	-0.09166984970282112961	-1.03202756372045699126	-1.13919142616198836818	-0.57796699551806252944	0.57796699860293463443	-0.62079814509503318895	-0.53410915446672192715	-0.88799434642803295645	-0.61060578276039353897	-0.47949882441663704185	-0.36334680783921052298	-0.85498196007096174622	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.34107870491926671626	-0.56610885442594343877	-0.18833645495379622592
K	-0.74554387056981218643	-0.74554389351479461562	-0.74554386291458337393	-1.21045054435071792814	-0.74867737156838906393	3.55328581461002738530	2.80670448328021376557	2.70996944369569377426	2.09809084009209528398	1.93596172752189664478	1.34218269861430608818	1.76833190431925047729	1.50581456748565953991	1.62864041540122317625	1.56851960506587682659	1.49321212208716659782	1.42013279066695859317	5.81614673150272101657	-0.09166984970282112961	-0.88398043958668258701	-0.66981666634248164863	0.31071160926220931317	-0.31071153546427677248	-0.58425518193670792369	-0.50475215774457104964	-0.88799434642803295645	0.72749312809588969405	-0.47949882441663704185	-0.36334680783921052298	-0.85498196007096174622	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.34470065145127549525	-0.56610885442594343877	-0.18619097460957009735
Ca	-0.53111314348182359492	-0.53111317981433432553	-0.53111314088363425486	-1.19941119234081196136	-0.27079823635551853481	1.55959198468567190150	1.23723837243537443170	1.31496370512670236633	0.90392375576039091440	0.95145311698838348140	0.60120191146676791981	0.93671667160715659997	0.92991270656521448891	0.92691885948151603704	0.91307322337845296412	0.90966255726528453586	0.91342458484283185120	-0.15985249364112525410	-0.09166984970282112961	-0.77563896556802793225	-0.34622535160117016688	-0.00716028355144090530	0.00716033205598363500	-0.42040125035583012143	-0.36700009620217077807	1.13214934774532968915	2.06582919210271493630	0.53645374096050725240	-0.36334680783921052298	-0.85498196007096174622	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	0.15874991649794478256	-0.56610885442594343877	-0.18494685244183259529
Sc	-0.10225168930584641191	-0.10225175241341374519	-0.10225169682173601627	-1.14444646488961629470	0.20708089885735199431	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	0.23013858350153441578	0.32607632561725881894	0.10396480430197256999	0.41363069023124955133	0.43344558508207220346	0.46207574230335328084	0.48648686996355460025	0.51181174318227818266	0.53727819338605509961	-0.15985249364112525410	-0.09166984970282112961	-0.53395413891102908710	0.23403656095851141684	-0.16943524517234100203	0.16943528076449998983	0.05112085491288297863	0.12077769548895149486	0.93665157088984298152	-0.39670916566984350959	-0.01770220379066236265	-0.33156488718850328281	-0.85498196007096174622	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	0.62960296565908604956	0.19020341482399125447	-0.17040331645902962129
